detector,dataset,granularity,strategy,alpha,ucb_method,delta,mean_test_risk,mean_test_coverage,target_met_rate,mean_guarantee_margin,worst_group_target_met_rate,worst_group_test_risk
mock,toy_det,coarse,flat,0.05,clopper_pearson,0.05,0.0,1.0,1.0,0.0375953619495909,,
mock,toy_det,coarse,flat,0.1,clopper_pearson,0.05,0.0,1.0,1.0,0.0875953619495909,,
mock,toy_det,coarse,flat,0.2,clopper_pearson,0.05,0.0,1.0,1.0,0.187595361949591,,
mock,toy_det,coarse,groupwise,0.05,clopper_pearson,0.05,0.0,1.0,1.0,0.0149649693950579,1.0,0.0
mock,toy_det,coarse,groupwise,0.1,clopper_pearson,0.05,0.0,1.0,1.0,0.0649649693950579,1.0,0.0
mock,toy_det,coarse,groupwise,0.2,clopper_pearson,0.05,0.0,1.0,1.0,0.1649649693950579,1.0,0.0
mock,toy_det,coarse,hierarchy,0.05,clopper_pearson,0.05,0.0,1.0,1.0,0.0375953619495909,,
mock,toy_det,coarse,hierarchy,0.1,clopper_pearson,0.05,0.0,1.0,1.0,0.0875953619495909,,
mock,toy_det,coarse,hierarchy,0.2,clopper_pearson,0.05,0.0,1.0,1.0,0.187595361949591,,
mock,toy_det,counterfactual,flat,0.05,clopper_pearson,0.05,0.0,1.0,1.0,0.0375953619495909,,
mock,toy_det,counterfactual,flat,0.1,clopper_pearson,0.05,0.0,1.0,1.0,0.0875953619495909,,
mock,toy_det,counterfactual,flat,0.2,clopper_pearson,0.05,0.0,1.0,1.0,0.187595361949591,,
mock,toy_det,counterfactual,groupwise,0.05,clopper_pearson,0.05,0.0,1.0,1.0,0.0149649693950579,1.0,0.0
mock,toy_det,counterfactual,groupwise,0.1,clopper_pearson,0.05,0.0,1.0,1.0,0.0649649693950579,1.0,0.0
mock,toy_det,counterfactual,groupwise,0.2,clopper_pearson,0.05,0.0,1.0,1.0,0.1649649693950579,1.0,0.0
mock,toy_det,counterfactual,hierarchy,0.05,clopper_pearson,0.05,0.0,1.0,1.0,0.0375953619495909,,
mock,toy_det,counterfactual,hierarchy,0.1,clopper_pearson,0.05,0.0,1.0,1.0,0.0875953619495909,,
mock,toy_det,counterfactual,hierarchy,0.2,clopper_pearson,0.05,0.0,1.0,1.0,0.187595361949591,,
mock,toy_det,fine,flat,0.05,clopper_pearson,0.05,0.0,1.0,1.0,0.0375953619495909,,
mock,toy_det,fine,flat,0.1,clopper_pearson,0.05,0.0,1.0,1.0,0.0875953619495909,,
mock,toy_det,fine,flat,0.2,clopper_pearson,0.05,0.0,1.0,1.0,0.187595361949591,,
mock,toy_det,fine,groupwise,0.05,clopper_pearson,0.05,0.0,1.0,1.0,0.0149649693950579,1.0,0.0
mock,toy_det,fine,groupwise,0.1,clopper_pearson,0.05,0.0,1.0,1.0,0.0649649693950579,1.0,0.0
mock,toy_det,fine,groupwise,0.2,clopper_pearson,0.05,0.0,1.0,1.0,0.1649649693950579,1.0,0.0
mock,toy_det,fine,hierarchy,0.05,clopper_pearson,0.05,0.0,1.0,1.0,0.0375953619495909,,
mock,toy_det,fine,hierarchy,0.1,clopper_pearson,0.05,0.0,1.0,1.0,0.0875953619495909,,
mock,toy_det,fine,hierarchy,0.2,clopper_pearson,0.05,0.0,1.0,1.0,0.187595361949591,,
mock,toy_det,mixed,flat,0.05,clopper_pearson,0.05,0.0,1.0,1.0,0.0375953619495909,,
mock,toy_det,mixed,flat,0.1,clopper_pearson,0.05,0.0,1.0,1.0,0.0875953619495909,,
mock,toy_det,mixed,flat,0.2,clopper_pearson,0.05,0.0,1.0,1.0,0.187595361949591,,
mock,toy_det,mixed,groupwise,0.05,clopper_pearson,0.05,0.0,1.0,1.0,0.0149649693950579,1.0,0.0
mock,toy_det,mixed,groupwise,0.1,clopper_pearson,0.05,0.0,1.0,1.0,0.0649649693950579,1.0,0.0
mock,toy_det,mixed,groupwise,0.2,clopper_pearson,0.05,0.0,1.0,1.0,0.1649649693950579,1.0,0.0
mock,toy_det,mixed,hierarchy,0.05,clopper_pearson,0.05,0.0,1.0,1.0,0.0375953619495909,,
mock,toy_det,mixed,hierarchy,0.1,clopper_pearson,0.05,0.0,1.0,1.0,0.0875953619495909,,
mock,toy_det,mixed,hierarchy,0.2,clopper_pearson,0.05,0.0,1.0,1.0,0.187595361949591,,
mock,toy_det,standard,flat,0.05,clopper_pearson,0.05,0.0,1.0,1.0,0.0375953619495909,,
mock,toy_det,standard,flat,0.1,clopper_pearson,0.05,0.0,1.0,1.0,0.0875953619495909,,
mock,toy_det,standard,flat,0.2,clopper_pearson,0.05,0.0,1.0,1.0,0.187595361949591,,
mock,toy_det,standard,groupwise,0.05,clopper_pearson,0.05,0.0,1.0,1.0,0.0149649693950579,1.0,0.0
mock,toy_det,standard,groupwise,0.1,clopper_pearson,0.05,0.0,1.0,1.0,0.0649649693950579,1.0,0.0
mock,toy_det,standard,groupwise,0.2,clopper_pearson,0.05,0.0,1.0,1.0,0.1649649693950579,1.0,0.0
mock,toy_det,standard,hierarchy,0.05,clopper_pearson,0.05,0.0,1.0,1.0,0.0375953619495909,,
mock,toy_det,standard,hierarchy,0.1,clopper_pearson,0.05,0.0,1.0,1.0,0.0875953619495909,,
mock,toy_det,standard,hierarchy,0.2,clopper_pearson,0.05,0.0,1.0,1.0,0.187595361949591,,
