detector,dataset,granularity,vocab_id,strategy,alpha,selected_threshold,calib_ucb_risk,calib_empirical_risk,calib_coverage,test_achieved_risk,test_achieved_coverage,test_num_kept,test_num_errors,ucb_method,delta,calib_guarantee_margin,test_margin,target_met_on_test
mock,toy_det,coarse,015f942ebaa4,flat,0.05,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.03759536194959098,0.05,True
mock,toy_det,coarse,015f942ebaa4,flat,0.1,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.08759536194959099,0.1,True
mock,toy_det,coarse,015f942ebaa4,flat,0.2,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.187595361949591,0.2,True
mock,toy_det,coarse,015f942ebaa4,hierarchy,0.05,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.03759536194959098,0.05,True
mock,toy_det,coarse,015f942ebaa4,hierarchy,0.1,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.08759536194959099,0.1,True
mock,toy_det,coarse,015f942ebaa4,hierarchy,0.2,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.187595361949591,0.2,True
mock,toy_det,coarse,0fc72fe0581d,flat,0.05,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.03759536194959098,0.05,True
mock,toy_det,coarse,0fc72fe0581d,flat,0.1,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.08759536194959099,0.1,True
mock,toy_det,coarse,0fc72fe0581d,flat,0.2,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.187595361949591,0.2,True
mock,toy_det,coarse,0fc72fe0581d,hierarchy,0.05,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.03759536194959098,0.05,True
mock,toy_det,coarse,0fc72fe0581d,hierarchy,0.1,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.08759536194959099,0.1,True
mock,toy_det,coarse,0fc72fe0581d,hierarchy,0.2,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.187595361949591,0.2,True
mock,toy_det,coarse,1dff153c87c3,flat,0.05,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.03759536194959098,0.05,True
mock,toy_det,coarse,1dff153c87c3,flat,0.1,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.08759536194959099,0.1,True
mock,toy_det,coarse,1dff153c87c3,flat,0.2,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.187595361949591,0.2,True
mock,toy_det,coarse,1dff153c87c3,hierarchy,0.05,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.03759536194959098,0.05,True
mock,toy_det,coarse,1dff153c87c3,hierarchy,0.1,0.79092,0.012404638050409016,1.0,1.0,0.0,1.0,720,0,clopper_pearson,0.05,0.08759536194959099,0.1,True
